"","V1","V2","V3","V4"
"1647",231.644907992499,231.580234317551,231.579895505543,231.579895505543
"1648",231.277475555528,231.212988791879,231.211270182004,231.211270182004
"1649",230.094134265809,230.03012920103,230.028552252106,230.028552252106
"1650",229.354030452592,229.291549026593,229.290255292343,229.290255292343
"1651",229.70451355708,229.642454690515,229.6407481855,229.6407481855
"1652",230.239590432271,230.177197503577,230.175963139308,230.175963139308
"1653",230.537984703255,230.475129753157,230.473951741265,230.473951741265
"1654",230.321193524446,230.258768973387,230.257899038926,230.257899038926
"1655",230.345738902668,230.283165289238,230.282322035625,230.282322035625
"1656",230.750346559156,230.686320001278,230.685887183695,230.685887183695
"1657",230.724294235438,230.659604402044,230.659370623895,230.659370623895
"1658",230.598534493855,230.533616903515,230.533227156417,230.533227156417
"1659",230.633176483735,230.568013774783,230.567666425114,230.567666425114
"1660",230.593617886694,230.528364225763,230.527866441374,230.527866441374
"1661",230.419806584662,230.354915622159,230.354430863336,230.354430863336
"1662",229.832727617224,229.767438582374,229.767975188357,229.767975188357
"1663",229.993287443287,229.929425332692,229.93024301278,229.93024301278
"1664",230.998040354976,230.932823621549,230.933874105947,230.933874105947
"1665",230.793962450205,230.728359859968,230.729026819526,230.729026819526
"1666",230.451539898165,230.386177552918,230.387579480555,230.387579480555
"1667",230.866326619352,230.800007832449,230.801082840802,230.801082840802
"1668",231.243885699384,231.17629648692,231.177062539204,231.177062539204
"1669",230.754425620499,230.686683638586,230.687021022333,230.687021022333
"1670",229.956166952853,229.889454272487,229.889781672167,229.889781672167
"1671",230.116888819572,230.050514321289,230.050296700173,230.050296700173
"1672",229.878619340634,229.811896919936,229.811590353932,229.811590353932
"1673",229.465856508692,229.400658817231,229.401046872619,229.401046872619
"1674",229.391965420016,229.328390976274,229.328417317584,229.328417317584
"1675",229.775808205221,229.713091102254,229.712966512734,229.712966512734
"1676",230.562884459769,230.499967061435,230.500090492666,230.500090492666
"1677",231.432071508702,231.368355421786,231.36826905534,231.36826905534
"1678",232.518192708515,232.450434335919,232.450268632386,232.450268632386
"1679",232.391287478593,232.319819046819,232.319665627926,232.319665627926
"1680",231.892669018776,231.819631629955,231.8192517905,231.8192517905
"1681",231.527808139927,231.453322376743,231.453231778584,231.453231778584
